Title,Description,Category,Author,Publish_Date
Closing Skill Gaps: How a Learning Experience Platform (LXP) M...,"Learning experience platforms are ushering in a new era of data-driven, skills-based, personalized professional development for L&D professionals. Here’s how.",Learning and development,Anthony Santa Maria,"Nov 9, 2021"
Screening Call: Video Job Interview Preparation Tips,"Preparing for a video job interview requires a different approach than in-person, even if many of the same core skills apply. Find specific guidance within.",Job seeking tips,Rachel Parnes,"Nov 8, 2021"
38 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning to overcome impostor syndrome or brushing up on your Adobe XD skills, we’ve got you covered on those topics and more. Check out one of the 38 new courses...",New courses,Rachel Parnes,"Nov 7, 2021"
40 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning to take control of your career or curious about augmented reality marketing, we’ve got you covered on those topics and more. Check out one of the 40 new ...",,Rachel Parnes,"Nov 1, 2021"
Learn New Skills Live from the Experts in November,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Oct 28, 2021"
"Defining Diversity, Equity and Inclusion in the Workplace, and...",Looking to embrace principles of diversity and inclusion in your own professional life? We’ve compiled guidance and resources to support your journey.,Conversations for change,Rachel Parnes,"Oct 25, 2021"
39 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re trying to build a trustworthy reputation at work or brushing up on GDPR compliance, we’ve got you covered on those topics and more. Check out one of the 39 new co...",New courses,Rachel Parnes,"Oct 24, 2021"
Learning to Lead in the New Era of Business: The Most Popular ...,"Sharpen your leadership, communication, empowerment, and listening skills in this new era of business with 15 popular LinkedIn online learning courses.",Top skills and courses,Mordy Golding,"Oct 19, 2021"
40 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re looking to find a new remote job or hone your Agile project management skills, we’ve got you covered on those topics and more. Check out one of the 40 new courses...",New courses,Rachel Parnes,"Oct 17, 2021"
5 Ways L&D is Leading a New Era of Skill Building,We convened L&D experts at the LinkedIn Learning Digital Summit to discuss how skill building is paving the way into the future of work. Here’s what they had to say.,Learning and development,Laurie Moot,"Oct 12, 2021"
"The 6 Stages Of Career Development, and Courses to Help Evolve...","Where are you on your career path? Learn about the six stages, and how to evolve your skill set to be ready for whatever is next.",Career success tips,Rachel Parnes,"Oct 11, 2021"
40 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re working on being a better leader or honing your skills in Excel or anything in between, we’ve got you covered on those topics and more. Check out one of the 40 ne...",New courses,Rachel Parnes,"Oct 10, 2021"
28 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re looking for career advice or honing your skills in network and systems administration or anything in between, we’ve got you covered on those topics and more. Chec...",New courses,Rachel Parnes,"Oct 4, 2021"
Don't Miss Out on a Chance to Take the Most Popular Courses of...,"On September 1, 2021 we released the list of the Most Popular Courses of the year. Over 4.6 million professionals watched these courses to learn a new skill. You have about two ...",Top skills and courses,Rachel Parnes,"Oct 4, 2021"
Learn New Skills Live from the Experts in October,"To help you continue your learning journey and build the skills most relevant to you, check out upcoming LinkedIn Live conversations hosted by our expert instructors.",Career success tips,Zoë Kelsey,"Sep 30, 2021"
'We always need to reskill and upskill to become our best selv...,Linkedin People Science and L&D expert Kenji Matsumoto explains why opportunities to learn and grow is the No. 1 driver of work culture today and what the future of L&D looks like.,Learning and development,Anthony Santa Maria,"Sep 27, 2021"
How to Reduce Stress at Work When the Office is Your Home,Remote work isn’t always easy. Use this guide to learn how you can reduce stress at work when your home and your office are the same place.,Career success tips,Rachel Parnes,"Sep 27, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re looking to make better decisions at work or trying to master Photoshop, we’ve got you covered on those topics and more. Check out one of the 34 new courses this w...",New courses,Rachel Parnes,"Sep 26, 2021"
3 Benefits of a Data-Driven Learning Strategy,Data can be a powerful tool for L&D leaders to develop impactful learning and skills development strategies. Here’s why.,Learning and development,Anthony Santa Maria,"Sep 24, 2021"
"With LinkedIn Learning Hub, a New Era of Skill Building Starts...","Introducing LInkedIn Learning Hub, an intelligent skill building platform revolutionizing the way we learn and work.",Learning and development,Amy Borsetti  she/her,"Sep 21, 2021"
3 Steps to Prove to Your Boss that You're a Strategic Thinker,Strategic Thinking was one of the most popular courses of the year. Learn to demonstrate this essential skill in these three steps.,Top skills and courses,Dorie Clark,"Sep 20, 2021"
34 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to hone your marketing skills or trying to brush up on the latest Microsoft tools, we’ve got you covered on those topics and more. Check out one of t...",New courses,Rachel Parnes,"Sep 20, 2021"
Build Skills for the New World of Work — Live with Experts,"Join LinkedIn Learning Instructors to develop skills for the new world of work, live.",Learning and development,Zoë Kelsey,"Sep 20, 2021"
3 Questions to Kickstart Your Data-Driven Learning Strategy,"Everyone’s talking about data-driven learning, but where do you begin? Read on for 3 questions to get your skill-building journey started.",Learning and development,Anthony Santa Maria,"Sep 17, 2021"
"‘If organizations want to succeed, they need to retain top tal...",LinkedinL&D expert Larissa Linton explains why opportunities to learn and grow is the No. 1 driver of work culture today and what the L&D future looks like.,Learning and development,Anthony Santa Maria,"Sep 17, 2021"
The 20 Most Popular LinkedIn Learning Courses of the Year,What are the most popular online courses people are taking to upgrade or reinvent their careers? Check out the top 20 courses and see where they can take you.,Top skills and courses,Dan Brodnitz,"Sep 14, 2021"
33 New Skills You Can Learn on LinkedIn Learning This Week,"Whether you’re learning how to hone your leadership skills or trying to get a different job in a new city, we’ve got you covered on those topics and more. Check out one of the 3...",New courses,Rachel Parnes,"Sep 13, 2021"
How to Identify—and Counteract—Your Own Unconscious Bias at Wo...,"Unconscious bias refers to the automatic (and unconscious) attitudes, stereotypes, and thinking that affect our views, our actions, and our decision-making ability. Learn about ...",Conversations for change,"Stacey A. Gordon, MBA","Sep 13, 2021"
‘People need to feel a sense of psychological safety to learn:...,LinkedIn People Science Leader Kate Feeney shares why L&D has risen in importance over the last year and how orgs can take advantage of this learning movement.,Learning and development,Anthony Santa Maria,"Sep 13, 2021"
What is the Great Reshuffle and How Can You Make the Most of i...,"The Great Reshuffle is""unlike anything we've seen in workplace history"". Learn new skills to help you make the most of this moment with nearly 40 free LinkedIn Learning courses.",,Dan Brodnitz,"Sep 9, 2021"
